playerId,season,name,team,position,situation,games_played,icetime,xGoals,goals,unblocked_shot_attempts,xRebounds,rebounds,xFreeze,freeze,xOnGoal,ongoal,xPlayStopped,playStopped,xPlayContinuedInZone,playContinuedInZone,xPlayContinuedOutsideZone,playContinuedOutsideZone,flurryAdjustedxGoals,lowDangerShots,mediumDangerShots,highDangerShots,lowDangerxGoals,mediumDangerxGoals,highDangerxGoals,lowDangerGoals,mediumDangerGoals,highDangerGoals,blocked_shot_attempts,penalityMinutes,penalties
8480280,2025,Jeremy Swayman,BOS,G,5on5,6,16357.0,11.08,15.0,279.0,9.84,14.0,38.25,43.0,146.96,123.0,4.15,0.0,80.53,74.0,57.35,55.0,10.69,159.0,36.0,7.0,4.68,4.57,1.83,9.0,4.0,2.0,77.0,0.0,0.0
8480280,2025,Jeremy Swayman,BOS,G,4on5,6,2561.0,3.42,1.0,77.0,4.55,7.0,10.32,12.0,45.66,41.0,0.13,0.0,26.69,27.0,14.57,14.0,3.14,43.0,17.0,1.0,1.04,2.08,0.3,0.0,1.0,0.0,16.0,0.0,0.0
8480280,2025,Jeremy Swayman,BOS,G,5on4,6,1612.0,0.4,0.0,7.0,0.28,0.0,0.73,0.0,5.51,5.0,0.92,1.0,1.71,3.0,3.73,4.0,0.39,5.0,2.0,0.0,0.13,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8478971,2025,Connor Ingram,EDM,G,other,5,666.0,1.23,0.0,11.0,0.38,1.0,0.89,0.0,4.63,2.0,0.08,0.0,2.33,1.0,1.02,4.0,1.15,3.0,1.0,2.0,0.17,0.17,0.89,0.0,0.0,0.0,5.0,0.0,0.0
8478971,2025,Connor Ingram,EDM,G,all,5,17710.0,16.06,19.0,310.0,11.34,24.0,42.59,39.0,171.34,153.0,5.05,0.0,92.59,66.0,67.3,87.0,15.41,179.0,38.0,19.0,5.03,4.38,6.65,4.0,6.0,9.0,74.0,0.0,0.0
8478971,2025,Connor Ingram,EDM,G,5on5,5,14921.0,10.07,12.0,261.0,9.01,17.0,36.84,33.0,142.31,125.0,4.14,0.0,77.87,58.0,59.08,77.0,9.79,158.0,32.0,8.0,4.41,3.66,2.0,4.0,5.0,3.0,63.0,0.0,0.0
8478971,2025,Connor Ingram,EDM,G,4on5,5,883.0,4.53,6.0,36.0,1.86,6.0,4.69,6.0,22.95,24.0,0.09,0.0,11.91,7.0,6.23,5.0,4.24,17.0,5.0,8.0,0.44,0.55,3.54,0.0,1.0,5.0,6.0,0.0,0.0
8478971,2025,Connor Ingram,EDM,G,5on4,5,1240.0,0.23,1.0,2.0,0.09,0.0,0.17,0.0,1.44,2.0,0.74,0.0,0.48,0.0,0.97,1.0,0.23,1.0,0.0,1.0,0.02,0.0,0.21,0.0,0.0,1.0,0.0,0.0,0.0
8476883,2025,Andrei Vasilevskiy,TBL,G,other,7,1023.0,0.89,0.0,15.0,0.49,0.0,1.76,1.0,8.11,4.0,0.24,0.0,4.41,5.0,3.19,4.0,0.86,6.0,5.0,0.0,0.26,0.63,0.0,0.0,0.0,0.0,4.0,0.0,0.0
8476883,2025,Andrei Vasilevskiy,TBL,G,all,7,26385.0,18.93,16.0,353.0,12.34,16.0,42.81,30.0,182.4,156.0,7.62,1.0,96.42,80.0,70.37,104.0,18.16,173.0,53.0,21.0,5.35,6.57,7.0,5.0,4.0,7.0,106.0,0.0,0.0
